Name,Age,Nationality,Club
S. Gnabry,22,Germany,FC Bayern München
J. Pickford,24,England,Everton
S. Savić,27,Montenegro,Atlético Madrid
J. Stones,24,England,Manchester City
Suso,24,Spain,Milan
J. Draxler,24,Germany,Paris Saint-Germain
Felipe Anderson,25,Brazil,West Ham United
Lucas Moura,25,Brazil,Tottenham Hotspur
Danilo Pereira,26,Portugal,FC Porto
Nacho Fernández,28,Spain,Real Madrid
T. Horn,25,Germany,1. FC Köln
Allan,27,Brazil,Napoli
F. Acerbi,30,Italy,Lazio
Sergi Roberto,26,Spain,FC Barcelona
Rodrigo,27,Spain,Valencia CF
Pizzi,28,Portugal,SL Benfica
K. Kampl,27,Slovenia,RB Leipzig
Neto,28,Brazil,Valencia CF
O. Baumann,28,Germany,TSG 1899 Hoffenheim
I. Gueye,28,Senegal,Everton
H. Mkhitaryan,29,Armenia,Arsenal
Marcos Alonso,27,Spain,Chelsea
D. Subašić,33,Croatia,AS Monaco
K. Glik,30,Poland,AS Monaco
K. Strootman,28,Netherlands,Olympique de Marseille
B. Dost,29,Netherlands,Sporting CP
Oscar,26,Brazil,Shanghai SIPG FC
M. Balotelli,27,Italy,OGC Nice
Luiz Gustavo,30,Brazil,Olympique de Marseille
Giuliano,28,Brazil,Al Nassr
David Luiz,31,Brazil,Chelsea
R. Fährmann,29,Germany,FC Schalke 04
Juan Mata,30,Spain,Manchester United
Adán,31,Spain,Atlético Madrid
Rui Patrício,30,Portugal,Wolverhampton Wanderers
Y. Sommer,29,Switzerland,Borussia Mönchengladbach
Javi Martínez,29,Spain,FC Bayern München
L. Bender,29,Germany,Bayer 04 Leverkusen
Lucas Leiva,31,Brazil,Lazio
S. Mandanda,33,France,Olympique de Marseille
Cesc Fàbregas,31,Spain,Chelsea
M. Dembélé,30,Belgium,Tottenham Hotspur
F. Ribéry,35,France,FC Bayern München
R. Jarstein,33,Norway,Hertha BSC
D. De Rossi,34,Italy,Roma
Pepe Reina,35,Spain,Milan
J. Pavlenka,26,Czech Republic,SV Werder Bremen
M. de Ligt,18,Netherlands,Ajax
Rodri,22,Spain,Atlético Madrid
Arthur,21,Brazil,FC Barcelona
G. Donnarumma,19,Italy,Milan
Rosberto Dourado,30,Brazil,Atlético Mineiro
Juiano Mestres,34,Brazil,Cruzeiro
Raphaelito Anjos,30,Brazil,Grêmio
Gelson Martins,23,Portugal,Atlético Madrid
Gonçalo Guedes,21,Portugal,Valencia CF
L. Torreira,22,Uruguay,Arsenal
Malcom,21,Brazil,FC Barcelona
Pau López,23,Spain,Real Betis
L. Hernández,22,France,Atlético Madrid
C. Lenglet,23,France,FC Barcelona
A. Kramarić,27,Croatia,TSG 1899 Hoffenheim
A. Robertson,24,Scotland,Liverpool
Dani García,28,Spain,Athletic Club de Bilbao
F. Bernardeschi,24,Italy,Juventus
J. Brandt,22,Germany,Bayer 04 Leverkusen
D. Rugani,23,Italy,Juventus
Samu Castillejo,23,Spain,Milan
João Cancelo,24,Portugal,Juventus
A. Romagnoli,23,Italy,Milan
T. Partey,25,Ghana,Atlético Madrid
Fred,25,Brazil,Manchester United
J. Vardy,31,England,Leicester City
A. Belotti,24,Italy,Torino
E. Forsberg,26,Sweden,RB Leipzig
J. Lingard,25,England,Manchester United
F. Vázquez,29,Argentina,Sevilla FC
E. Višća,28,Bosnia Herzegovina,Medipol Başakşehir FK
A. Rüdiger,25,Germany,Chelsea
A. Florenzi,27,Italy,Roma
H. Maguire,25,England,Leicester City
T. Meunier,26,Belgium,Paris Saint-Germain
S. Sané,27,Senegal,FC Schalke 04
G. Kondogbia,25,Central African Rep.,Valencia CF
Rafinha,25,Brazil,FC Barcelona
Gabriel Paulista,27,Brazil,Valencia CF
Morata,25,Spain,Chelsea
J. Cillessen,29,Netherlands,FC Barcelona
W. Ben Yedder,27,France,Sevilla FC
C. Bakambu,27,DR Congo,Beijing Sinobo Guoan FC
Pablo Sarabia,26,Spain,Sevilla FC
W. Zaha,25,Ivory Coast,Crystal Palace
Luis Alberto,25,Spain,Lazio
Jonathan Viera,28,Spain,Beijing Sinobo Guoan FC
Bartra,27,Spain,Real Betis
S. Coates,27,Uruguay,Sporting CP
Willian José,26,Brazil,Real Sociedad
Mário Fernandes,27,Russia,PFC CSKA Moscow
Víctor Ruiz,29,Spain,Villarreal CF
T. Delaney,26,Denmark,Borussia Dortmund
K. Casteels,26,Belgium,VfL Wolfsburg
M. Götze,26,Germany,Borussia Dortmund
S. Mustafi,26,Germany,Arsenal
J. Pastore,29,Argentina,Roma
Pedro,30,Spain,Chelsea
G. Bonaventura,28,Italy,Milan
R. Bürki,27,Switzerland,Borussia Dortmund
Taison,30,Brazil,Shakhtar Donetsk
S. Nzonzi,29,France,Roma
Marlos,30,Ukraine,Shakhtar Donetsk
A. Ramsey,27,Wales,Arsenal
K. Trippier,27,England,Tottenham Hotspur
A. Kolarov,32,Serbia,Roma
G. Sigurðsson,28,Iceland,Everton
S. Giovinco,31,Italy,Toronto FC
M. Arnautović,29,Austria,West Ham United
N. Gaitán,30,Argentina,Dalian YiFang FC
J. Henderson,28,England,Liverpool
M. Kruse,30,Germany,SV Werder Bremen
M. Parolo,33,Italy,Lazio
L. Fejsa,29,Serbia,SL Benfica
A. Rami,32,France,Olympique de Marseille
V. Ćorluka,32,Croatia,Lokomotiv Moscow
G. Wijnaldum,27,Netherlands,Liverpool
F. Fazio,31,Argentina,Roma
O. Giroud,31,France,Chelsea
Marcano,31,Spain,Roma
A. Guardado,31,Mexico,Real Betis
E. Garay,31,Argentina,Valencia CF
Jardel,32,Brazil,SL Benfica
S. Sirigu,31,Italy,Torino
E. Viviano,32,Italy,Sporting CP
L. Koscielny,32,France,Arsenal
A. Consigli,31,Italy,Sassuolo
L. Biglia,32,Argentina,Milan
Dani Alves,35,Brazil,Paris Saint-Germain
David Villa,36,Spain,New York City FC
Aduriz,37,Spain,Athletic Club de Bilbao
P. Čech,36,Czech Republic,Arsenal
Casillas,37,Spain,FC Porto
M. Rashford,20,England,Manchester United
Laure Santeiro,30,Brazil,Fluminense
L. Bailey,20,Jamaica,Bayer 04 Leverkusen
M. Akanji,22,Switzerland,Borussia Dortmund
F. de Jong,21,Netherlands,Ajax
Nélson Semedo,24,Portugal,FC Barcelona
Pablo Fornals,22,Spain,Villarreal CF
Fabián,22,Spain,Napoli
E. Bailly,24,Ivory Coast,Manchester United
Dani Ceballos,21,Spain,Real Madrid
H. Lozano,22,Mexico,PSV
Morales,30,Spain,Levante UD
J. Seri,26,Ivory Coast,Fulham
M. Politano,24,Italy,Inter
M. Brozović,25,Croatia,Inter
Williams,24,Spain,Athletic Club de Bilbao
A. Correa,23,Argentina,Atlético Madrid
A. Christensen,22,Denmark,Chelsea
João Mário,25,Portugal,Inter
T. Strakosha,23,Albania,Lazio
E. Hysaj,24,Albania,Napoli
P. Zieliński,24,Poland,Napoli
Ricardo Pereira,24,Portugal,Leicester City
Grimaldo,22,Spain,SL Benfica
R. Guerreiro,24,Portugal,Borussia Dortmund
A. Doucouré,25,France,Watford
J. Martínez,25,Venezuela,Atlanta United
C. Bacca,31,Colombia,Villarreal CF
A. Plea,25,France,Borussia Mönchengladbach
B. Davies,25,Wales,Tottenham Hotspur
M. Nastasić,25,Serbia,FC Schalke 04
A. Milik,24,Poland,Napoli
M. Sabitzer,24,Austria,RB Leipzig
B. Mendy,23,France,Manchester City
C. Kramer,27,Germany,Borussia Mönchengladbach
S. Vrsaljko,26,Croatia,Inter
T. Hazard,25,Belgium,Borussia Mönchengladbach
K. Bellarabi,28,Germany,Bayer 04 Leverkusen
S. Zaza,27,Italy,Torino
F. Ghoulam,27,Algeria,Napoli
B. Lecomte,27,France,Montpellier HSC
J. Iličić,30,Slovenia,Atalanta
K. Volland,25,Germany,Bayer 04 Leverkusen
Paco Alcácer,24,Spain,Borussia Dortmund
Vitolo,28,Spain,Atlético Madrid
G. Xhaka,25,Switzerland,Arsenal
D. Tadić,29,Serbia,Ajax
C. Aránguiz,29,Chile,Bayer 04 Leverkusen
S. Verdi,25,Italy,Napoli
D. Lovren,28,Croatia,Liverpool
G. Medel,30,Chile,Beşiktaş JK
X. Shaqiri,26,Switzerland,Liverpool
J. Corona,25,Mexico,FC Porto
A. Areola,25,France,Paris Saint-Germain
K. Vogt,26,Germany,TSG 1899 Hoffenheim
Ander Herrera,28,Spain,Manchester United
E. Salvio,27,Argentina,SL Benfica
S. El Shaarawy,25,Italy,Roma
C. Smalling,28,England,Manchester United
Hulk,31,Brazil,Shanghai SIPG FC
S. Kagawa,29,Japan,Borussia Dortmund
M. Lanzini,25,Argentina,West Ham United
F. Smolov,28,Russia,Lokomotiv Moscow
L. Stindl,29,Germany,Borussia Mönchengladbach
O. Toprak,28,Turkey,Borussia Dortmund
D. Perotti,29,Argentina,Roma
F. Muslera,32,Uruguay,Galatasaray SK
B. Höwedes,30,Germany,Lokomotiv Moscow
S. Kjær,29,Denmark,Sevilla FC
S. Bender,29,Germany,Bayer 04 Leverkusen
M. Valbuena,33,France,Fenerbahçe SK
Pedro León,31,Spain,SD Eibar
K. Boateng,31,Ghana,Sassuolo
L. Piszczek,33,Poland,Borussia Dortmund
A. Candreva,31,Italy,Inter
D. Wass,29,Denmark,Valencia CF
E. Lamela,26,Argentina,Tottenham Hotspur
D. Rose,27,England,Tottenham Hotspur
C. Vela,29,Mexico,Los Angeles FC
Renato Augusto,30,Brazil,Beijing Sinobo Guoan FC
A. Valencia,32,Ecuador,Manchester United
L. Fabiański,33,Poland,West Ham United
João Moutinho,31,Portugal,Wolverhampton Wanderers
Borja Valero,33,Spain,Inter
F. Quagliarella,35,Italy,Sampdoria
B. Gomis,32,France,Al Hilal
Manuel Fernandes,32,Portugal,Lokomotiv Moscow
H. Herrera,28,Mexico,FC Porto
Raffael,33,Brazil,Borussia Mönchengladbach
Nani,31,Portugal,Sporting CP
J. Milner,32,England,Liverpool
J. Mathieu,34,France,Sporting CP
Joaquín,36,Spain,Real Betis
M. Gómez,21,Uruguay,RC Celta
K. Havertz,19,Germany,Bayer 04 Leverkusen
T. Ndombele,21,France,Olympique Lyonnais
H. Aouar,20,France,Olympique Lyonnais
Carlos Soler,21,Spain,Valencia CF
Odriozola,22,Spain,Real Madrid
M. Almirón,24,Paraguay,Atlanta United
Welington Dano,30,Brazil,Cruzeiro
Everton Andrão,34,Brazil,Fluminense
Oyarzabal,21,Spain,Real Sociedad
F. Balbuena,26,Paraguay,West Ham United
M. Marega,27,Mali,FC Porto
B. Pavard,22,France,VfB Stuttgart
W. Ndidi,21,Nigeria,Leicester City
A. Onana,22,Cameroon,Ajax
G. Lo Celso,22,Argentina,Real Betis
M. Acuña,26,Argentina,Sporting CP
Rúben Neves,21,Portugal,Wolverhampton Wanderers
Mariano,24,Dominican Republic,Real Madrid
Raúl,28,Brazil,SC Braga
M. Caldara,24,Italy,Milan
M. Vecino,26,Uruguay,Inter
T. Bakayoko,23,France,Milan
M. Dahoud,22,Germany,Borussia Dortmund
Rafa,25,Portugal,SL Benfica
K. Baldé,23,Senegal,Inter
G. Rulli,26,Argentina,Real Sociedad
F. Armani,31,Argentina,River Plate
Rony Lopes,22,Portugal,AS Monaco
Santi Mina,22,Spain,Valencia CF
K. Demirbay,24,Germany,TSG 1899 Hoffenheim
Gayà,23,Spain,Valencia CF
André Gomes,24,Portugal,Everton
N. Tagliafico,25,Argentina,Ajax
M. Sanson,23,France,Olympique de Marseille
Pacheco,26,Spain,Deportivo Alavés
E. Can,24,Germany,Juventus
H. Çalhanoğlu,24,Turkey,Milan
M. Ginter,24,Germany,Borussia Mönchengladbach
M. Keane,25,England,Everton
L. Paredes,24,Argentina,
T. Stepanenko,28,Ukraine,Shakhtar Donetsk
L. Shaw,22,England,Manchester United
Z. Feddal,28,Morocco,Real Betis
S. Haller,24,France,Eintracht Frankfurt
Bernard,25,Brazil,Everton
T. Inui,30,Japan,Real Betis
Portu,26,Spain,Girona FC
M. Batshuayi,24,Belgium,Valencia CF
E. Zahavi,30,Israel,Guangzhou R&F; FC
T. Vaclík,29,Czech Republic,Sevilla FC
N. Pope,26,England,Burnley
Héctor Bellerín,23,Spain,Arsenal
P. Kadeřábek,26,Czech Republic,TSG 1899 Hoffenheim
J. Butland,25,England,Stoke City
J. Vestergaard,25,Denmark,Southampton
J. Tarkowski,25,England,Burnley
Deulofeu,24,Spain,Watford
E. Dier,24,England,Tottenham Hotspur
J. Murillo,26,Colombia,Valencia CF
M. Badelj,29,Croatia,Lazio
Ismaily,28,Brazil,Shakhtar Donetsk
N. Schulz,25,Germany,TSG 1899 Hoffenheim
L. Digne,24,France,Everton
M. Uth,26,Germany,FC Schalke 04
Cristian Tello,26,Spain,Real Betis
D. Vida,29,Croatia,Beşiktaş JK
L. Muriel,27,Colombia,Sevilla FC
V. Aboubakar,26,Cameroon,FC Porto
A. Oxlade-Chamberlain,24,England,Liverpool
S. Aurier,25,Ivory Coast,Tottenham Hotspur
J. Matip,26,Cameroon,Liverpool
Y. Rakitskyi,28,Ukraine,Shakhtar Donetsk
Sergi Enrich,28,Spain,SD Eibar
A. Yarmolenko,28,Ukraine,West Ham United
Hugo Mallo,27,Spain,RC Celta
André Almeida,27,Portugal,SL Benfica
D. Didavi,28,Germany,VfB Stuttgart
R. Rodríguez,25,Switzerland,Milan
R. Pereyra,27,Argentina,Watford
Mario Gaspar,27,Spain,Villarreal CF
Maicon,29,Brazil,Galatasaray SK
D. Blind,28,Netherlands,Ajax
J. Zoet,27,Netherlands,PSV
A. Ljajić,26,Serbia,Beşiktaş JK
Canales,27,Spain,Real Betis
Iago Falqué,28,Spain,Torino
L. de Jong,27,Netherlands,PSV
Guaita,31,Spain,Crystal Palace
Muniain,25,Spain,Athletic Club de Bilbao
Susaeta,30,Spain,Athletic Club de Bilbao
S. Rudy,28,Germany,FC Schalke 04
K. Trapp,27,Germany,Eintracht Frankfurt
V. Wanyama,27,Kenya,Tottenham Hotspur
N. Nkoulou,28,Cameroon,Torino
R. Boudebouz,28,Algeria,Real Betis
Camacho,28,Spain,VfL Wolfsburg
S. Ulreich,29,Germany,FC Bayern München
M. Musacchio,27,Argentina,Milan
C. Stuani,31,Uruguay,Girona FC
P. Gulácsi,28,Hungary,RB Leipzig
Bruno,34,Spain,Villarreal CF
F. Delph,28,England,Manchester City
A. Lallana,30,England,Liverpool
Marcelo,31,Brazil,Olympique Lyonnais
S. Coleman,29,Republic of Ireland,Everton
Alexandre Pato,28,Brazil,Tianjin Quanjian FC
Antunes,31,Portugal,Getafe CF
Nacho Monreal,32,Spain,Arsenal
Beñat,31,Spain,Athletic Club de Bilbao
A. Fernández,32,Argentina,Beijing Renhe FC
K. Gameiro,31,France,Valencia CF
I. Piatti,33,Argentina,Montreal Impact
V. Birsa,31,Slovenia,Chievo Verona
S. Romero,31,Argentina,Manchester United
D. Criscito,31,Italy,Genoa
D. Valeri,32,Argentina,Portland Timbers
D. Sturridge,28,England,Liverpool
Raúl García,31,Spain,Athletic Club de Bilbao
S. Defour,30,Belgium,Burnley
M. Škrtel,33,Slovakia,Fenerbahçe SK
S. Radu,31,Romania,Lazio
G. Cahill,32,England,Chelsea
L. Diarra,33,France,Paris Saint-Germain
L. Perrin,32,France,AS Saint-Étienne
Dante,34,Brazil,OGC Nice
A. Granqvist,33,Sweden,
A. Gignac,32,France,Tigres U.A.N.L.
M. Gómez,32,Germany,VfB Stuttgart
I. Akinfeev,32,Russia,PFC CSKA Moscow
I. Denisov,34,Russia,Lokomotiv Moscow
Juanfran,33,Spain,Atlético Madrid
Diego López,36,Spain,RCD Espanyol
Santi Cazorla,33,Spain,Villarreal CF
Jesús Navas,32,Spain,Sevilla FC
J. Mascherano,34,Argentina,Hebei China Fortune FC
A. Mirante,34,Italy,Roma
D. Srna,36,Croatia,Cagliari
B. Schweinsteiger,33,Germany,Chicago Fire
Moyá,34,Spain,Real Sociedad
W. Rooney,32,England,DC United
Fernando Torres,34,Spain,Sagan Tosu
S. Sorrentino,39,Italy,Chievo Verona
V. Tsygankov,20,Ukraine,Dynamo Kyiv
Rúben Dias,21,Portugal,SL Benfica
David Neres,21,Brazil,Ajax
Raphinha,21,Brazil,Sporting CP
A. Harit,21,Morocco,FC Schalke 04
Richarlison,21,Brazil,Everton
L. Martínez,20,Argentina,Inter
F. Kessié,21,Ivory Coast,Milan
Luimo Boas Santos,30,Brazil,Santos
Gabri Prestão,26,Brazil,Internacional
Melvin Parrela,30,Brazil,América FC (Minas Gerais)
Antônio Chiamuloira,30,Brazil,Internacional
Maikel Catarino,34,Brazil,Atlético Mineiro
A. Lunev,26,Russia,
André Silva,22,Portugal,Sevilla FC
C. Pulisic,19,United States,Borussia Dortmund
M. Dmitrović,26,Serbia,SD Eibar
L. Tousart,21,France,Olympique Lyonnais
Marcos Llorente,23,Spain,Real Madrid
B. Verbič,24,Slovenia,Dynamo Kyiv
S. Bergwijn,20,Netherlands,PSV
A. Diallo,22,France,Borussia Dortmund
A. Golovin,22,Russia,AS Monaco
M. Campaña,29,Uruguay,Independiente
C. Pavón,22,Argentina,Boca Juniors
K. Toko-Ekambi,25,Cameroon,Villarreal CF
Granell,29,Spain,Girona FC
F. Cervi,24,Argentina,SL Benfica
J. Weigl,22,Germany,Borussia Dortmund
V. Lindelöf,23,Sweden,Manchester United
A. Rebić,24,Croatia,Eintracht Frankfurt
A. Sanabria,22,Paraguay,Real Betis
R. Battaglia,26,Argentina,Sporting CP
M. Philipp,24,Germany,Borussia Dortmund
A. Saint-Maximin,21,France,OGC Nice
D. Zappacosta,26,Italy,Chelsea
L. Alario,25,Argentina,Bayer 04 Leverkusen
D. Benedetto,28,Argentina,Boca Juniors
I. Marcone,28,Argentina,Cruz Azul
J. Gbamin,22,Ivory Coast,1. FSV Mainz 05
J. Lerma,23,Colombia,Bournemouth
Ricardo Horta,23,Portugal,SC Braga
R. Zobnin,24,Russia,Spartak Moscow
M. Meyer,22,Germany,Crystal Palace
Bruma,23,Portugal,RB Leipzig
R. Centurión,25,Argentina,Racing Club
Jonny,24,Spain,Wolverhampton Wanderers
Otávio,23,Brazil,FC Porto
J. Hofmann,25,Germany,Borussia Mönchengladbach
N. Aké,23,Netherlands,Bournemouth
J. Hector,28,Germany,1. FC Köln
S. Kolašinac,25,Bosnia Herzegovina,Arsenal
G. Pizarro,28,Argentina,Tigres U.A.N.L.
Roger,27,Spain,Levante UD
Sergio Rico,24,Spain,Fulham
L. Milivojević,27,Serbia,Crystal Palace
D. Baselli,26,Italy,Torino
K. Rekik,23,Netherlands,Hertha BSC
Denis Suárez,24,Spain,FC Barcelona
W. Orban,25,Hungary,RB Leipzig
Mário Rui,27,Portugal,Napoli
Iñigo Martínez,27,Spain,Athletic Club de Bilbao
K. Zouma,23,France,Everton
Roque Mesa,29,Spain,Sevilla FC
J. Brooks,25,United States,VfL Wolfsburg
L. Karius,25,Germany,Beşiktaş JK
Zé Luís,27,Cape Verde,Spartak Moscow
D. Klaassen,25,Netherlands,SV Werder Bremen
M. Elyounoussi,23,Norway,Southampton
L. Bittencourt,24,Germany,TSG 1899 Hoffenheim
Sergi Darder,24,Spain,RCD Espanyol
J. Roussillon,25,France,VfL Wolfsburg
D. Demme,26,Germany,RB Leipzig
J. Gouweleeuw,26,Netherlands,FC Augsburg
M. Rojo,28,Argentina,Manchester United
J. Veretout,25,France,Fiorentina
L. Kurzawa,25,France,Paris Saint-Germain
G. Ramírez,27,Uruguay,Sampdoria
David López,28,Spain,RCD Espanyol
C. Tătăruşanu,32,Romania,FC Nantes
A. Mandi,26,Algeria,Real Betis
D. Sidibé,25,France,AS Monaco
Y. Konoplyanka,28,Ukraine,FC Schalke 04
S. Berghuis,26,Netherlands,Feyenoord
H. Vanaken,25,Belgium,Club Brugge KV
Campaña,25,Spain,Levante UD
M. van Ginkel,25,Netherlands,Chelsea
Nolito,31,Spain,Sevilla FC
M. Gregoritsch,24,Austria,FC Augsburg
Ibai Gómez,28,Spain,Deportivo Alavés
Danilo,26,Brazil,Manchester City
R. Barkley,24,England,Chelsea
M. Ryan,26,Australia,Brighton & Hove Albion
Sergio León,29,Spain,Real Betis
B. Stambouli,27,France,FC Schalke 04
J. Guilavogui,27,France,VfL Wolfsburg
